P:H  w (rad/s)	set1	set2	set3	set4	mean	SEM	set1	set2	set3	set4	mean	SEM
	3.14	0.53	0.50	1.02	0.59	0.66	0.11	1.02	1.58	1.92	1.82	1.58	0.17
	4.71	0.86	1.01	1.57	1.13	1.14	0.13	1.51	2.11	2.37	2.56	2.14	0.20
	6.28	1.24	1.53	2.07	1.31	1.54	0.16	1.81	2.44	2.65	2.75	2.41	0.18
	15.71	2.84	4.03	4.14	3.24	3.56	0.27	2.08	3.93	3.62	4.12	3.44	0.40
	31.42	3.96	4.30	6.05	4.97	4.82	0.40	2.06	2.16	4.01	3.91	3.04	0.46
	47.12	4.72	4.97	7.57	5.52	5.69	0.56	2.21	2.03	3.24	3.12	2.65	0.27
	62.83	3.55	5.48	8.27	5.96	5.82	0.84	1.12	1.97	2.77	2.67	2.13	0.33
	125.66	4.28	5.79	10.37	6.78	6.80	1.12	0.93	0.91	2.74	1.75	1.58	0.38
	188.50	4.97	6.68	9.13	6.70	6.87	0.74	0.91	1.19	1.49	1.19	1.19	0.10
	251.33	5.40	7.03	8.96	6.62	7.00	0.64	0.83	1.03	1.09	0.92	0.97	0.05
