S:P  w (rad/s)	set1	set2	set3	set4	mean	SEM	set1	set2	set3	set4	mean	SEM
	3.14	1.64	2.85	3.14	4.65	3.07	0.54	8.65	11.00	11.91	7.55	9.78	0.88
	4.71	3.26	4.44	6.13	6.18	5.01	0.61	12.81	16.01	16.16	10.66	13.91	1.15
	6.28	5.52	7.31	8.08	7.16	7.02	0.47	17.36	28.20	22.94	14.32	20.70	2.66
	15.71	42.27	35.24	30.33	20.96	32.20	3.88	50.66	29.27	20.97	17.44	29.59	6.45
	31.42	50.42	51.07	37.11	32.94	42.88	4.00	34.51	20.79	10.02	17.60	20.73	4.43
	47.12	60.96	54.34	39.24	38.27	48.20	4.87	24.80	15.07	6.25	13.86	15.00	3.30
	62.83	61.17	55.58	38.76	40.96	49.12	4.75	18.66	10.32	3.71	7.77	10.12	2.73
	125.66	59.95	56.02	35.63	44.03	48.91	4.83	9.58	6.84	2.33	5.88	6.16	1.30
	188.50	70.37	55.67	38.11	46.54	52.67	5.98	9.74	5.36	2.27	4.09	5.37	1.38
	251.33	66.84	55.61	37.07	41.26	50.19	5.91	9.00	6.85	2.48	2.92	5.31	1.36
